Date,Open,High,Low,Close*,Adj. close**,Volume
22-May-18,229,236.2,225.15,234.95,234.95,"92,61,805"
23-May-18,234,234.9,228.8,229.95,229.95,"89,98,284"
24-May-18,231,235.65,227.15,234.1,234.1,"92,74,702"
25-May-18,235,247.25,234.55,245.5,245.5,"1,51,51,718"
28-May-18,247,247.7,240.75,241.65,241.65,"58,98,310"
29-May-18,240,244.9,239.4,242.5,242.5,"68,12,212"
30-May-18,239.95,240.25,235.55,238.1,238.1,"78,18,247"
31-May-18,239.3,239.9,233,234.2,234.2,"89,48,198"
01-Jun-18,233.8,239.5,231.05,238.5,238.5,"73,41,372"
04-Jun-18,240,242.85,237.7,241.6,241.6,"80,45,521"
05-Jun-18,240.2,243.2,237.7,242.05,242.05,"54,90,029"
06-Jun-18,242.5,249.55,241.5,248.1,248.1,"64,55,908"
07-Jun-18,252,255.5,247.45,248.6,248.6,"1,28,22,346"
08-Jun-18,245.65,247.15,240.55,242.15,242.15,"68,29,526"
11-Jun-18,242.05,245.65,241.85,244.7,244.7,"51,87,556"
12-Jun-18,244.7,245.9,238.7,240.65,240.65,"46,61,081"
13-Jun-18,240.7,247.2,239.65,245,245,"59,76,795"
14-Jun-18,245,249.5,243.3,244.75,244.75,"67,99,990"
15-Jun-18,245,245.1,235.55,237.4,237.4,"67,86,903"
18-Jun-18,235,235,229,231,231,"68,30,177"
19-Jun-18,229,232.2,221.85,225.8,225.8,"1,01,26,361"
20-Jun-18,226,229.75,224.05,226.2,226.2,"72,29,700"
21-Jun-18,228.3,228.3,221.5,222.3,222.3,"60,19,694"
22-Jun-18,222.05,222.75,218.7,222,222,"98,07,671"
25-Jun-18,221.05,227.25,217.8,218.4,218.4,"93,18,246"
26-Jun-18,218.5,223.7,216.8,222.95,222.95,"84,83,133"
27-Jun-18,223.25,223.7,216.9,217.9,217.9,"68,88,151"
28-Jun-18,218,222.6,216.15,221.05,221.05,"1,03,98,473"
29-Jun-18,222.8,232,221.55,230.5,230.5,"1,04,41,528"
02-Jul-18,231,231.1,218.85,223.25,223.25,"91,59,214"
03-Jul-18,223.5,227.45,220.7,226.1,226.1,"80,01,296"
04-Jul-18,225.8,225.8,220.1,224.1,224.1,"52,46,876"
05-Jul-18,223.8,223.9,219.3,220.3,220.3,"47,73,707"
06-Jul-18,219.4,226.35,214.55,220.45,220.45,"88,22,679"
09-Jul-18,223,225.85,221.5,222.05,222.05,"51,67,643"
10-Jul-18,224.25,230.05,224.05,229.05,229.05,"1,15,51,274"
11-Jul-18,226.85,226.85,219.8,220.8,220.8,"97,59,711"
12-Jul-18,221,225.9,219.65,220.3,220.3,"89,62,227"
13-Jul-18,222.9,222.9,216.6,218.75,218.75,"58,14,556"
17-Jul-18,211,221.25,208.05,219.5,219.5,"86,43,253"
18-Jul-18,220.9,221.45,210.5,212.4,212.4,"75,09,081"
19-Jul-18,214,214.4,194.5,197.6,197.6,"3,32,11,007"
20-Jul-18,200.35,202.2,193.6,195.65,195.65,"2,28,35,887"
23-Jul-18,196.1,198.45,192.35,196.15,196.15,"1,33,63,743"
24-Jul-18,197,210,196.15,207.6,207.6,"1,85,26,745"
25-Jul-18,209.7,213.3,207.5,209,209,"1,53,44,017"
26-Jul-18,210.5,210.5,201.7,206.55,206.55,"1,35,65,234"
27-Jul-18,212.75,220.8,212,213.4,213.4,"3,00,05,793"
30-Jul-18,214,216.45,209.45,211.25,211.25,"90,30,681"
31-Jul-18,211,214.95,207.7,213.4,213.4,"1,11,69,360"
01-Aug-18,214.5,214.9,206.35,208,208,"1,11,68,857"
02-Aug-18,206,210.75,203.25,207.9,207.9,"1,28,29,967"
